294	2021-01-26 12:15:34+07	547	14-get-wo-pulpis	UJPS
295	2021-01-27 07:00:14+07	1604	12-get-wo-ellipse	UP
296	2021-01-27 07:00:26+07	3992	13-get-wo-jomjawa	JOM-JW
297	2021-01-27 07:00:29+07	480	14-get-wo-kaltim	UJKT
298	2021-01-27 07:00:33+07	616	14-get-wo-tenayan	UJTY
299	2021-01-27 07:00:37+07	544	14-get-wo-pulpis	UJPS
300	2021-01-27 12:16:03+07	1614	12-get-wo-ellipse	UP
301	2021-01-27 12:16:13+07	3968	13-get-wo-jomjawa	JOM-JW
302	2021-01-27 12:16:16+07	479	14-get-wo-kaltim	UJKT
303	2021-01-27 12:16:22+07	618	14-get-wo-tenayan	UJTY
304	2021-01-27 12:16:24+07	552	14-get-wo-pulpis	UJPS
305	2021-01-28 07:00:11+07	1616	12-get-wo-ellipse	UP
306	2021-01-28 07:00:22+07	3949	13-get-wo-jomjawa	JOM-JW
307	2021-01-28 07:00:25+07	478	14-get-wo-kaltim	UJKT
308	2021-01-28 07:00:30+07	621	14-get-wo-tenayan	UJTY
309	2021-01-28 07:00:33+07	545	14-get-wo-pulpis	UJPS
310	2021-01-28 12:15:12+07	1634	12-get-wo-ellipse	UP
311	2021-01-28 12:15:24+07	3959	13-get-wo-jomjawa	JOM-JW
312	2021-01-28 12:15:27+07	477	14-get-wo-kaltim	UJKT
313	2021-01-28 12:15:32+07	619	14-get-wo-tenayan	UJTY
314	2021-01-28 12:15:35+07	534	14-get-wo-pulpis	UJPS
315	2021-01-29 07:00:11+07	1630	12-get-wo-ellipse	UP
316	2021-01-29 07:00:24+07	3959	13-get-wo-jomjawa	JOM-JW
317	2021-01-29 07:00:27+07	477	14-get-wo-kaltim	UJKT
318	2021-01-29 07:00:32+07	625	14-get-wo-tenayan	UJTY
319	2021-01-29 07:00:35+07	532	14-get-wo-pulpis	UJPS
320	2021-01-29 12:15:12+07	1631	12-get-wo-ellipse	UP
321	2021-01-29 12:15:24+07	3971	13-get-wo-jomjawa	JOM-JW
322	2021-01-29 12:15:27+07	472	14-get-wo-kaltim	UJKT
323	2021-01-29 12:15:32+07	625	14-get-wo-tenayan	UJTY
324	2021-01-29 12:15:34+07	535	14-get-wo-pulpis	UJPS
325	2021-01-30 07:01:21+07	1643	12-get-wo-ellipse	UP
326	2021-01-30 07:01:32+07	3921	13-get-wo-jomjawa	JOM-JW
327	2021-01-30 07:01:34+07	472	14-get-wo-kaltim	UJKT
328	2021-01-30 07:01:38+07	625	14-get-wo-tenayan	UJTY
329	2021-01-30 07:01:41+07	534	14-get-wo-pulpis	UJPS
330	2021-01-30 12:15:45+07	1642	12-get-wo-ellipse	UP
331	2021-01-30 12:15:56+07	3907	13-get-wo-jomjawa	JOM-JW
332	2021-01-30 12:15:59+07	472	14-get-wo-kaltim	UJKT
333	2021-01-30 12:16:03+07	625	14-get-wo-tenayan	UJTY
334	2021-01-30 12:16:05+07	534	14-get-wo-pulpis	UJPS
